epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.883,1.558,2.47603,1.51265,0.2756,0.25175,0.18561,0.08593,1.7379,2.6906,1.6786,0.000659259,0.000659259,0.000659259
2,425.341,1.67039,2.1649,1.62312,0.24908,0.34328,0.21642,0.0872,1.89463,2.79141,1.8912,0.00129967,0.00129967,0.00129967
3,717.57,1.69041,2.14836,1.6489,0.39074,0.39245,0.30895,0.1418,1.97859,2.54948,2.05242,0.00191369,0.00191369,0.00191369
4,1000.72,1.68908,2.05881,1.64757,0.46125,0.43284,0.39913,0.18821,1.74038,2.12735,1.6967,0.0018812,0.0018812,0.0018812
5,1288.44,1.69446,1.91562,1.63708,0.52261,0.56643,0.53172,0.25576,1.68218,1.78508,1.64077,0.0018416,0.0018416,0.0018416
6,1611.37,1.60467,1.82091,1.56702,0.49621,0.45274,0.43264,0.22436,1.66435,2.85201,1.63984,0.001802,0.001802,0.001802
7,1891.34,1.61184,1.81573,1.5976,0.54287,0.42289,0.46,0.23202,1.62591,1.78991,1.6025,0.0017624,0.0017624,0.0017624
8,2179.52,1.59845,1.75259,1.55187,0.52546,0.59204,0.57011,0.30546,1.57303,1.63961,1.53883,0.0017228,0.0017228,0.0017228
9,2463.98,1.54937,1.69913,1.52193,0.52093,0.55721,0.54806,0.28275,1.59209,1.73697,1.5348,0.0016832,0.0016832,0.0016832
10,2762.86,1.48915,1.59484,1.49742,0.60326,0.52198,0.52878,0.27449,1.66111,1.72926,1.61002,0.0016436,0.0016436,0.0016436
11,3057.73,1.46788,1.55518,1.46299,0.60312,0.55224,0.55794,0.31734,1.5348,1.61389,1.49561,0.001604,0.001604,0.001604
12,3342.42,1.45381,1.53656,1.45097,0.64615,0.59204,0.62165,0.34166,1.53904,1.52401,1.51768,0.0015644,0.0015644,0.0015644
13,3627.05,1.46178,1.51472,1.46014,0.62697,0.56862,0.59272,0.3288,1.53718,1.56692,1.5027,0.0015248,0.0015248,0.0015248
14,3930.97,1.43091,1.42859,1.42717,0.67302,0.57711,0.6254,0.3417,1.56519,1.51639,1.53069,0.0014852,0.0014852,0.0014852
15,4218.59,1.45972,1.46353,1.45611,0.58867,0.58209,0.61701,0.32321,1.66047,1.61852,1.62162,0.0014456,0.0014456,0.0014456
16,4500.53,1.43564,1.4772,1.4396,0.62084,0.62189,0.66679,0.35026,1.52632,1.42342,1.49583,0.001406,0.001406,0.001406
17,4779.26,1.42643,1.41963,1.42782,0.71742,0.56716,0.65155,0.36555,1.46497,1.35877,1.47832,0.0013664,0.0013664,0.0013664
18,5062.89,1.37087,1.36904,1.39552,0.69826,0.57566,0.6479,0.33558,1.6092,1.51496,1.59113,0.0013268,0.0013268,0.0013268
19,5344.81,1.35361,1.3656,1.38114,0.63758,0.60199,0.66444,0.36663,1.49831,1.46452,1.48302,0.0012872,0.0012872,0.0012872
20,5625.91,1.40296,1.37155,1.42203,0.63006,0.63184,0.66062,0.37308,1.52549,1.43305,1.4719,0.0012476,0.0012476,0.0012476
21,5908.18,1.37414,1.34994,1.38787,0.7045,0.57214,0.6665,0.37208,1.48807,1.33874,1.48455,0.001208,0.001208,0.001208
22,6175.64,1.33182,1.2958,1.36717,0.64596,0.66667,0.65209,0.36243,1.52822,1.35387,1.50457,0.0011684,0.0011684,0.0011684
23,6454.75,1.32198,1.22716,1.35697,0.63496,0.60697,0.66508,0.36762,1.50682,1.36046,1.4898,0.0011288,0.0011288,0.0011288
24,6655.54,1.30049,1.21437,1.34464,0.66639,0.62608,0.65576,0.38529,1.44985,1.3175,1.4672,0.0010892,0.0010892,0.0010892
25,6832.92,1.29357,1.19441,1.33516,0.67302,0.67662,0.68115,0.39235,1.48213,1.29657,1.49235,0.0010496,0.0010496,0.0010496
26,7103.26,1.28622,1.18733,1.33046,0.67494,0.62687,0.67031,0.38515,1.44313,1.3268,1.43442,0.00101,0.00101,0.00101
27,7391.99,1.25943,1.20136,1.32488,0.68241,0.64179,0.67042,0.39027,1.43863,1.29213,1.43064,0.0009704,0.0009704,0.0009704
28,7681.19,1.27804,1.19531,1.32744,0.58298,0.64677,0.64294,0.36563,1.47465,1.33278,1.45558,0.0009308,0.0009308,0.0009308
