epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4449,2.86549,5.00398,2.69275,0.00194,0.9697,0.00339,0.00114,2.36878,6.49513,2.26692,0.0004,0.0004,0.0004
2,137.913,2.38601,4.22387,2.17509,0.00188,0.93939,0.00708,0.00181,2.58675,5.29886,2.72126,0.000811882,0.000811882,0.000811882
3,202.908,2.15852,3.82876,2.06485,0.00061,0.30303,0.02554,0.00744,3.5102,6.20628,4.88985,0.00121545,0.00121545,0.00121545
4,266.824,2.02749,3.67154,2.03088,0.00167,0.83333,0.00887,0.0027,2.47166,4.68936,3.35182,0.0016107,0.0016107,0.0016107
5,331.526,2.01397,3.56948,2.01078,0.04617,0.28788,0.05136,0.0179,1.91059,7.44557,2.98522,0.0019208,0.0019208,0.0019208
6,395.493,1.89035,3.30875,1.90722,0.04542,0.21212,0.03752,0.00878,2.20982,6.33651,2.58884,0.001901,0.001901,0.001901
7,459.457,1.88166,3.25635,1.95662,0.01557,0.07576,0.01152,0.00436,1.95902,4.73802,2.43876,0.0018812,0.0018812,0.0018812
8,523.329,1.85832,3.10751,1.98778,0.0016,0.75758,0.00965,0.0033,2.1133,4.13991,2.63116,0.0018614,0.0018614,0.0018614
9,586.919,1.74939,3.09784,1.93666,0.12702,0.22727,0.07176,0.02564,2.11812,3.56356,2.96109,0.0018416,0.0018416,0.0018416
10,651.526,1.71988,2.86889,1.88265,0.11079,0.16667,0.07337,0.03299,1.84632,3.46839,2.43758,0.0018218,0.0018218,0.0018218
11,715.809,1.70286,2.80806,1.86587,0.0778,0.10606,0.05556,0.02555,1.62963,3.27006,1.93898,0.001802,0.001802,0.001802
12,780.543,1.75759,2.83631,1.92036,0.024,0.34848,0.01785,0.00746,1.99339,3.71999,2.12389,0.0017822,0.0017822,0.0017822
13,846.014,1.63649,2.76619,1.8703,0.46073,0.37879,0.41664,0.16914,1.84633,2.72306,2.39163,0.0017624,0.0017624,0.0017624
14,911.302,1.65261,2.66462,1.89723,0.05916,0.24242,0.03747,0.01163,1.64329,3.57271,2.26571,0.0017426,0.0017426,0.0017426
15,975.806,1.6642,2.64217,1.85937,0.33192,0.33333,0.23917,0.1171,1.53295,3.11248,2.14297,0.0017228,0.0017228,0.0017228
16,1040.52,1.66646,2.69367,1.91599,0.26784,0.39394,0.19394,0.07742,1.62705,3.0106,2.17758,0.001703,0.001703,0.001703
17,1104.74,1.58936,2.61249,1.8558,0.1557,0.31818,0.10119,0.05467,1.64006,3.61344,2.35956,0.0016832,0.0016832,0.0016832
18,1168.9,1.58766,2.55001,1.8371,0.64206,0.54359,0.59075,0.3219,1.48103,2.04406,2.06513,0.0016634,0.0016634,0.0016634
19,1233.26,1.67667,2.52313,1.85988,0.47395,0.5303,0.4456,0.22685,1.53492,2.33333,2.10273,0.0016436,0.0016436,0.0016436
20,1297.01,1.59045,2.48943,1.81539,0.60997,0.45455,0.53411,0.34255,1.51026,3.28114,2.20673,0.0016238,0.0016238,0.0016238
21,1361.24,1.54048,2.40755,1.76527,0.74817,0.5,0.63269,0.33195,1.65707,2.94165,2.36593,0.001604,0.001604,0.001604
22,1424.58,1.5675,2.54044,1.82104,0.69457,0.68182,0.73111,0.49149,1.20305,2.02629,1.80355,0.0015842,0.0015842,0.0015842
23,1488.6,1.50798,2.46751,1.72225,0.25256,0.43521,0.22131,0.11665,1.37195,2.6,2.12959,0.0015644,0.0015644,0.0015644
24,1553.08,1.49035,2.47519,1.7515,0.35814,0.48485,0.29163,0.10194,1.53534,2.54326,2.13962,0.0015446,0.0015446,0.0015446
25,1617.73,1.5221,2.33415,1.78144,0.60374,0.4697,0.52023,0.38221,1.37564,2.50707,2.19561,0.0015248,0.0015248,0.0015248
26,1683.4,1.52989,2.34564,1.79298,0.80495,0.68182,0.78367,0.49931,1.57184,1.68493,2.25327,0.001505,0.001505,0.001505
27,1747.42,1.49965,2.39732,1.78336,0.64365,0.71155,0.74935,0.49444,1.42486,1.99804,2.05614,0.0014852,0.0014852,0.0014852
28,1811.94,1.4316,2.3146,1.72415,0.80716,0.63421,0.73345,0.48065,1.44509,2.21357,2.04303,0.0014654,0.0014654,0.0014654
29,1874.9,1.47219,2.27241,1.72479,0.71331,0.63636,0.70513,0.48026,1.31973,1.91242,1.91118,0.0014456,0.0014456,0.0014456
30,1937.25,1.39205,2.18314,1.69291,0.66248,0.56061,0.60107,0.37886,1.31717,1.96284,1.95051,0.0014258,0.0014258,0.0014258
31,2001.54,1.40884,2.16134,1.73867,0.48531,0.60007,0.48532,0.29493,1.39282,2.46486,2.01656,0.001406,0.001406,0.001406
32,2064.26,1.47915,2.27561,1.80653,0.76624,0.74502,0.81341,0.50071,1.53141,1.94112,2.16002,0.0013862,0.0013862,0.0013862
33,2125.53,1.41156,2.26369,1.73595,0.79661,0.74242,0.81617,0.50394,1.48181,1.66915,2.11738,0.0013664,0.0013664,0.0013664
34,2187.34,1.40808,2.21135,1.72802,0.76667,0.64727,0.77707,0.51933,1.26551,1.69875,1.8839,0.0013466,0.0013466,0.0013466
35,2249.24,1.39556,2.16583,1.67543,0.88515,0.69697,0.80189,0.55809,1.30591,1.73008,1.96202,0.0013268,0.0013268,0.0013268
36,2311.12,1.35977,2.20091,1.67536,0.89026,0.73757,0.82701,0.59422,1.24087,1.43062,1.90259,0.001307,0.001307,0.001307
37,2372.57,1.35318,2.18756,1.68229,0.79947,0.69697,0.79714,0.57608,1.1879,1.6505,1.83456,0.0012872,0.0012872,0.0012872
38,2434.37,1.363,2.14075,1.67844,0.81787,0.75758,0.85458,0.65395,1.18308,1.88329,1.88062,0.0012674,0.0012674,0.0012674
39,2495.9,1.37106,2.11816,1.69858,0.64849,0.63636,0.73151,0.48393,1.14854,1.73084,1.79152,0.0012476,0.0012476,0.0012476
40,2557.53,1.42113,2.25904,1.76396,0.69621,0.65152,0.70016,0.49785,1.21124,1.68257,1.83015,0.0012278,0.0012278,0.0012278
41,2619.03,1.29745,2.14306,1.68341,0.74078,0.69282,0.74731,0.48952,1.39899,1.63704,2.16447,0.001208,0.001208,0.001208
42,2680.17,1.33257,2.1383,1.71726,0.87946,0.7738,0.86069,0.63231,1.19035,1.39252,1.80842,0.0011882,0.0011882,0.0011882
43,2741.8,1.37361,2.11135,1.695,0.82423,0.80303,0.81291,0.63956,1.10112,1.59163,1.74643,0.0011684,0.0011684,0.0011684
44,2803.19,1.34868,2.04091,1.6675,0.77403,0.78788,0.77778,0.63326,1.06969,1.53412,1.71925,0.0011486,0.0011486,0.0011486
45,2864.56,1.30249,2.02131,1.6312,0.79037,0.69697,0.80611,0.62277,1.08131,1.54838,1.72604,0.0011288,0.0011288,0.0011288
46,2925.7,1.26384,1.99123,1.58951,0.76664,0.68182,0.80479,0.58291,1.12114,1.60254,1.80032,0.001109,0.001109,0.001109
47,2987.42,1.3234,2.02349,1.65401,0.8009,0.73145,0.81548,0.62701,1.14222,1.38476,1.77246,0.0010892,0.0010892,0.0010892
48,3048.91,1.3188,1.94276,1.6254,0.87056,0.81523,0.8895,0.6275,1.20915,1.25612,1.82871,0.0010694,0.0010694,0.0010694
49,3110.35,1.25602,1.96111,1.61951,0.79717,0.75758,0.81627,0.59113,1.02752,1.40787,1.67313,0.0010496,0.0010496,0.0010496
50,3171.8,1.30411,2.00574,1.65091,0.89632,0.78592,0.83322,0.59718,1.05165,1.4752,1.6519,0.0010298,0.0010298,0.0010298
51,3233.24,1.28418,1.99793,1.64292,0.84459,0.83333,0.84985,0.65003,1.08136,1.56492,1.70719,0.00101,0.00101,0.00101
52,3294.85,1.23641,2.02122,1.63056,0.87472,0.84635,0.83675,0.61551,1.00997,1.48084,1.68801,0.0009902,0.0009902,0.0009902
53,3356.12,1.24501,1.96139,1.60105,0.86892,0.89394,0.90889,0.76008,0.85857,1.31327,1.52943,0.0009704,0.0009704,0.0009704
54,3417.61,1.26162,1.9208,1.59269,0.90494,0.86364,0.91146,0.76617,0.85249,1.29338,1.50969,0.0009506,0.0009506,0.0009506
55,3479.66,1.19615,1.91166,1.55904,0.93046,0.81095,0.8804,0.70031,0.8802,1.37483,1.53392,0.0009308,0.0009308,0.0009308
56,3541.3,1.22784,1.90685,1.59363,0.91832,0.85178,0.8952,0.67045,1.10796,1.30612,1.73117,0.000911,0.000911,0.000911
57,3603.04,1.26246,1.89141,1.58886,0.86389,0.86553,0.88832,0.68367,1.02517,1.23075,1.6591,0.0008912,0.0008912,0.0008912
58,3664.87,1.21179,1.87578,1.56712,0.83941,0.75758,0.84782,0.64351,0.98675,1.5277,1.65071,0.0008714,0.0008714,0.0008714
59,3734.64,1.22142,1.85962,1.59606,0.76909,0.84848,0.81096,0.57816,1.01568,1.33573,1.66667,0.0008516,0.0008516,0.0008516
60,3824.41,1.25338,1.8875,1.64558,0.85767,0.81818,0.87946,0.72093,0.98144,1.34379,1.63282,0.0008318,0.0008318,0.0008318
61,3911.86,1.23288,1.9802,1.60514,0.82284,0.84453,0.85359,0.66036,0.9909,1.41465,1.64195,0.000812,0.000812,0.000812
62,3999.6,1.19959,1.88458,1.5811,0.82398,0.86364,0.86919,0.69202,0.9371,1.22959,1.60498,0.0007922,0.0007922,0.0007922
63,4083.31,1.27629,1.95671,1.60699,0.85072,0.87879,0.91116,0.69604,1.03029,1.07359,1.71822,0.0007724,0.0007724,0.0007724
64,4163.1,1.18585,1.83746,1.55166,0.86942,0.90795,0.90563,0.77753,0.8739,1.1415,1.53626,0.0007526,0.0007526,0.0007526
65,4226.03,1.25683,1.92576,1.61653,0.79539,0.88355,0.85237,0.62009,0.93315,1.34219,1.57564,0.0007328,0.0007328,0.0007328
66,4288.71,1.19955,1.90216,1.55214,0.81954,0.83333,0.81545,0.67012,0.94821,1.36001,1.58926,0.000713,0.000713,0.000713
67,4351.71,1.21157,1.81652,1.57676,0.8203,0.84848,0.83915,0.70819,0.82341,1.35297,1.51751,0.0006932,0.0006932,0.0006932
68,4414.63,1.18224,1.80098,1.59432,0.86619,0.80303,0.84645,0.64097,1.09119,1.21701,1.73183,0.0006734,0.0006734,0.0006734
69,4477.27,1.20147,1.84637,1.61536,0.89578,0.7814,0.85682,0.7336,0.85513,1.2465,1.52828,0.0006536,0.0006536,0.0006536
70,4539.49,1.16646,1.79444,1.56191,0.86085,0.84364,0.88343,0.75256,0.80107,1.0898,1.50623,0.0006338,0.0006338,0.0006338
71,4601.89,1.20064,1.68788,1.56398,0.88639,0.81818,0.87328,0.65852,1.05643,1.15216,1.68807,0.000614,0.000614,0.000614
72,4664.42,1.1899,1.76411,1.55293,0.82894,0.80303,0.8716,0.70178,0.87531,1.1979,1.53375,0.0005942,0.0005942,0.0005942
73,4726.38,1.17396,1.69697,1.52148,0.86463,0.84848,0.8931,0.65485,0.92427,1.2761,1.57162,0.0005744,0.0005744,0.0005744
74,4787.98,1.1425,1.75305,1.5651,0.85099,0.86533,0.90919,0.74655,0.91137,1.07858,1.56941,0.0005546,0.0005546,0.0005546
75,4849.62,1.18297,1.75592,1.57365,0.84165,0.84848,0.88871,0.75647,0.80254,1.21987,1.4654,0.0005348,0.0005348,0.0005348
76,4911.53,1.09796,1.62422,1.47756,0.87927,0.88285,0.88208,0.7485,0.83372,1.21494,1.49465,0.000515,0.000515,0.000515
77,4973.41,1.09172,1.62573,1.47345,0.89454,0.86364,0.89597,0.73275,0.81852,1.20683,1.49226,0.0004952,0.0004952,0.0004952
78,5034.72,1.09108,1.6469,1.48053,0.9097,0.83333,0.89819,0.71278,0.82893,1.14713,1.49548,0.0004754,0.0004754,0.0004754
79,5096.4,1.11789,1.61621,1.48862,0.89166,0.81818,0.8876,0.67257,0.95766,1.10808,1.61325,0.0004556,0.0004556,0.0004556
80,5158.06,1.07407,1.57812,1.48505,0.87445,0.89394,0.89186,0.71436,0.85048,1.19558,1.51604,0.0004358,0.0004358,0.0004358
81,5220.64,1.1502,1.67377,1.54615,0.85257,0.86364,0.89754,0.73141,0.88806,0.98287,1.56448,0.000416,0.000416,0.000416
82,5283.67,1.12426,1.61424,1.52053,0.85175,0.86364,0.86701,0.70981,0.8318,1.12347,1.51283,0.0003962,0.0003962,0.0003962
83,5345.07,1.08503,1.55919,1.45557,0.86998,0.87879,0.87711,0.72872,0.87796,1.17006,1.52927,0.0003764,0.0003764,0.0003764
84,5406.47,1.14151,1.66486,1.51285,0.88761,0.86364,0.89096,0.74184,0.8479,0.98192,1.52507,0.0003566,0.0003566,0.0003566
85,5467.22,1.117,1.66396,1.5315,0.87731,0.87879,0.89919,0.7555,0.79916,1.02565,1.4814,0.0003368,0.0003368,0.0003368
86,5529.05,1.10888,1.63297,1.50308,0.87419,0.84232,0.90649,0.74882,0.8,0.98486,1.49333,0.000317,0.000317,0.000317
87,5590.11,1.12129,1.65594,1.49967,0.86954,0.86364,0.9061,0.77276,0.74652,0.97973,1.44786,0.0002972,0.0002972,0.0002972
88,5653.82,1.04708,1.56849,1.46689,0.87575,0.89394,0.90543,0.78026,0.77932,1.05351,1.45163,0.0002774,0.0002774,0.0002774
89,5715.2,1.04948,1.60845,1.48599,0.87176,0.89394,0.90362,0.76611,0.79263,1.04879,1.47029,0.0002576,0.0002576,0.0002576
90,5776.57,1.08164,1.54286,1.47303,0.8927,0.87879,0.90901,0.75745,0.81608,0.98549,1.5002,0.0002378,0.0002378,0.0002378
91,5836.62,0.88912,1.26563,1.50988,0.90108,0.87879,0.89191,0.73099,0.79916,1.00226,1.49363,0.000218,0.000218,0.000218
92,5898.98,0.80238,1.0872,1.44566,0.888,0.86364,0.87294,0.70877,0.79277,1.11282,1.47388,0.0001982,0.0001982,0.0001982
93,5959.25,0.8268,1.08542,1.43097,0.84163,0.8858,0.88396,0.74248,0.72309,1.06362,1.41832,0.0001784,0.0001784,0.0001784
94,6019.79,0.77663,0.98501,1.41942,0.85314,0.89394,0.89599,0.7631,0.71547,0.94236,1.4174,0.0001586,0.0001586,0.0001586
95,6081.46,0.79079,0.96896,1.42624,0.86214,0.89394,0.93282,0.79499,0.70299,0.90809,1.4097,0.0001388,0.0001388,0.0001388
96,6142.23,0.71984,0.88315,1.33571,0.86622,0.90909,0.93645,0.80805,0.66677,0.86832,1.39282,0.000119,0.000119,0.000119
97,6202.44,0.72596,0.86394,1.34732,0.87415,0.90909,0.93987,0.81476,0.69047,0.87297,1.40598,9.92e-05,9.92e-05,9.92e-05
98,6262.15,0.74125,0.88189,1.3806,0.88125,0.89956,0.92661,0.80307,0.69992,0.92353,1.40748,7.94e-05,7.94e-05,7.94e-05
99,6323.34,0.74172,0.88268,1.36208,0.87895,0.90909,0.91962,0.79835,0.6711,0.92529,1.38436,5.96e-05,5.96e-05,5.96e-05
100,6384,0.71571,0.82217,1.36987,0.85843,0.91877,0.92064,0.80892,0.64575,0.91924,1.36828,3.98e-05,3.98e-05,3.98e-05
